Question,ExpectedTool
"If a council worker driving a ride on mower is exposed to a noise level of 89 dB(A), what is the maximum permissible time T in hours that he should be exposed to the noise?",Max permissible time
"A long 114 mm diameter pipe contains a sound source radiating an acoustic power of 93 dB re 1e-12 W along the pipe, with energy between 100 Hz and 1500 Hz and no reflections. A microphone of sensitivity -68 dB re 1 V/Pa senses the sound pressure. Determine the RMS voltage generated by the microphone. Air density 1.21 and sound speed 343.",Duct -> mic voltage
"The power spectral density of a sound pressure varies linearly between 973 Hz and 4584 Hz. At 973 Hz the PSD is 0.0015 Pa2/Hz and at 4584 Hz it is 1.5e-4 Pa2/Hz. Determine the RMS value of the sound pressure between these frequency limits.",PSD -> RMS pressure
"Determine the SEL sound exposure level for a transient noise event from the Leq and its measurement duration.",SEL <-> Leq
"During a measurement the values 102.5, 31.5, 84.4 and 93.5 dB are determined for L1, L99, Leq and SEL but it is not known which value is associated with which term. What value would correspond to each term?",Sort values into terms
"A rifleman shoots at a target y metres away across a lake. An SPL of 128 dB is measured at the target; moving 25.2 m further along the same line gives 98 dB. Estimate the distance y between the rifleman and the target.",Solve distance
"A speedway has background 69 dB(A) at 8 m, 89 dB(A) with a full house, and 94 dB(A) from a single motorcycle with the full house; six machines race at once. Estimate (i) the noise level from a single motorbike only (ii) the total level from all 6 motorbikes at 8 m (iii) the total level at distances of 1 km and 2 km.",Subtract background
"Calculate the equivalent A-weighted continuous SPL LAeq,T over the total time from a set of LAeq,Ti values and their time intervals for a locomotive operator, and an equivalent 8 hour exposure LAeq,8h.",Leq from levels
"From a noise event level versus time graph, determine the LAeq equivalent continuous level over the ten second period and the LAE sound exposure level for each five second interval.",Leq from levels
"At a point midway between two fans in a bakery, the sound pressure level when both fans are on is 82 dB. What will be the sound pressure level when only one fan is running?",One of N sources
"Octave band A-weighted SPLs of an electric drill were measured at 10 locations on a 0.86 m diameter hemisphere on the ground in a free field. Determine the total unweighted sound power level Lw of the drill.",Lw from bands (free field)
"Predict the increase in the overall A-weighted reverberant sound pressure level in an office when six suspended acoustic absorbing panels are removed, given the room reverberation times and the panel absorption coefficients.",Absorber change
"For a noise event whose level is described by a ramp function LA=10log10(9t+1)+80 over the first minute then constant at 80, calculate the LAeq and the LA10 percentile over the five minute period.",Leq time-varying & LN
"A siren on a pole produces a pure tone; a microphone 2 m away measures a peak acoustic pressure amplitude of 25 Pa. Estimate the acoustic intensity at the microphone and the acoustic power produced by the siren. Assume density 1.21 and c 343.",Radiated power (point source)
"At a location the unweighted sound pressure level of a 500 Hz pure tone alarm is 80 dB re 2x10-5 Pa. a) Estimate the loudness level in phons. b) Determine the loudness in sones. c) Determine the preferred speech interference level. d) Could two people 1 m apart communicate and with what voice effort?",Phon -> sone
"Estimate the maximum A-weighted sound pressure level at the ears of persons wearing correctly adjusted ear muffs given the octave band mean and standard deviation attenuation data and the environment octave band sound pressure levels.",Hearing protector (octave-band mean/SD)
"For a plant room containing three electric motors, use the octave band sound power levels and the concrete surface absorption coefficients to find the reverberant field sound pressure levels, then the reduction after the ceiling is coated with sound absorbing material.",Plant room
"A pipe 2 m long with an inside diameter of 21 mm is closed at both ends. Find the first three natural frequencies of the pipe and the location along the pipe of the pressure node at the lowest natural frequency.",Pipe natural frequencies (ends)
"A long 80 mm plastic pipe is half immersed vertically in a still lake, perforated so it acts anechoically in the water. A horn driver at the top generates 233 Hz sound and a microphone near the water surface reads 153 dB. Calculate the rate of sound energy flow (sound power) into the water of the lake.",Power into a medium (pipe/interface)
"Calculate the mass line associated with the normal incidence sound transmission loss for a timber panel mounted to cover an opening which has a mass per unit area of 19 kg/m2 at 100 Hz, 300 Hz and 1000 Hz.",Mass law TL
"A speaker is connected to a long pipe with no reflected waves. Octave band SPLs are measured at a microphone point. Determine the root mean square acoustic pressures, the intensity, and the acoustic power radiated in each frequency band, plus the total sound pressure level and total sound power level.",Duct band power (pipe)
"Determine the sound pressure level at a certain point due to a machine running alone, if measurements with the machine on and off give sound pressure levels of 99 dB and 86 dB respectively.",Subtract background
"Determine the LAeq generated by an express train that pass-bys with a noise level of 80 dB(A) for a duration of 2 minutes each hour overnight.",Leq from events
"Determine the overall LAeq generated by combining the express train pass-by noise with the highway traffic LAeq during the overnight time period.",Combine levels
